DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ÁREAS EN PROCESO DE RESTAURACION,COLOMBIA,13 ACCIÓN POR EL CLIMA,,SECTOR PÚBLICO,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE (MADS),REGISTRO ADMINISTRATIVO,Consolidar información a partir de los registros de los proyectos de reforestación definidos para la debida conservación y gestión en los ecosistemas forestales,,,,Especie*localización*tipo de arreglo forestal*año de establecimiento*fuente de financiamiento*caracterización biofísica del predio*manejo de la plantación -,Restauración Ecológica*Rehabilitación y Recuperación de Áreas Degradadas,Nacional*Regional*Área metropolitana*Departamental*Municipal*comuna/localidad,,,,,No aplica,,,,Pendiente por verificar usuarios,
ÁREAS PROTEGIDAS,COLOMBIA,13 ACCIÓN POR EL CLIMA,,SECTOR PÚBLICO,PARQUES NACIONALES NATURALES DE COLOMBIA,REGISTRO ADMINISTRATIVO,Contar con información de las áreas definidas geográficamente con el fin de alcanzar los objetivos específicos de conservación y preservación de recursos naturales.,,,,Nombre del área*extensión de superficie por acto administrativo*área marina*área continental*Area poer categoria UICN,Proporción áreas protegidas por SINAP*Variación áreas protegidas por SINAP*Proporción áreas protegidas SPNN*Proporción marina protegida SPNN*Proporción de la superficie protegida por el SINAP según tipo de superficie*Proporción de la superficie continental protegida por el SPNN,Nacional,,,,,Anual,,,Las Corporaciones Autónomas Regionales y las de Desarrollo Sostenible * Parques Nacionales Naturales de Colombia * Ministerio de Ambiente y Desarrollo Sostenible * Las autoridades ambientales * Entidades del Estado * Empresa Privada y público en general,Pendiente por verificar usuarios,
AVANCES EN LA IMPLEMENTACIÓN DEL PLAN DE ACCIÓN DE LA ESTRATEGIA NACIONAL PARA LA PREVENCIÓN Y CONTROL DEL TRÁFICO ILEGAL DE ESPECIES SILVESTRES,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE (MADS),REGISTRO ADMINISTRATIVO,Dar un diagnostico de la situación del trafico ilegal de fauna y flora silvestre. (medir si la estrategia para la prevención y control del trafico ilegal funciona de acuerdo a los resultados de las especies incautadas como decomisos y/o trafico ilegal),,,,Numero de acta*fecha expedicion*especie incautada o decomisada*cantidad*estado*sitio de origen*region*nombre de la CAR*volumen*unidades decomisadas por especie*departamento*numero de animales por clase taxonomica*sitio de decomiso,Metros cúbicos decomisados de flora y fauna (Reportes Autoridades ambientales)*Diez especies más decomisadas en metros cúbicos*Unidades decomisadas y cantidad decomisada*Autoridad Ambiental con más decomisos*lugar de decomisos*procedencia del decomiso*tipo de producto,Nacional*Regional*Departamental*Municipal,,,,,Anual,,,Ministerio de Ambiente * Corporacioes Autonomas * Policia Nacional,Pendiente por verificar usuarios,
AVANCES PARA EL SEGUIMIENTO DE LOS PROYECTOS DE INVERSIÓN,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,DEPARTAMENTO NACIONAL DE PLANEACIÓN (DNP),REGISTRO ADMINISTRATIVO,Realizar el seguimiento a los proyectos registrados para la inversión pública del presupuesto general de la nación,,,,Producto (avance físico)*gestión (avance físico)*financiero (avance en pesos)*identificación de la entidad responsable*identificación del proyecto,Porcentaje de sectores con informes de seguimiento,Regional*Departamental,,,,,Trimestral,,,Ministerios sectoriales * entidades adscritas,Pendiente por verificar usuarios,
BALANCE ENERGÉTICO NACIONAL,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Elaborar el balance minero energético nacional, en coordinación con las entidades del sector y las demás dependencias de la Unidad.",,,,"Transformación de energéticos primarios*generación de energéticos secundarios y autoconsumos*Índice de precios de energía eléctrica*Exportaciones*importaciones*Bunker y transferencias de energéticos*Demanda de energéticos*
 Producción y demanda de minerales*Balance Energético Nacional (UPME)",Balance energético de cada uno de los energéticos y minerales (Series de tiempo),Nacional,,,,,Anual,,,Público en general (Academia * Entidades Públicas y Privadas),Pendiente por verificar usuarios,
BALANZA CAMBIARIA,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,MÚLTIPLES FUENTES,Registrar las operaciones de moneda extranjera que se efectúan en el mercado local y externo con el fin de dar herramientas para la toma de decisiones de política pública en términos cambiarios,,,,Reintegros*giros por importaciones de bienes*reintegros netos financieros*préstamo neto*inversión extranjera directa en Colombia*inversión extranjera de portafolio en Colombia*cuentas corrientes netas*reservas internacionales*inversión colombiana en el exterior.,Balanza cambiaria*balanza consolidada*reservas internacionales,Nacional,SI,XLS,http://www.banrep.gov.co/sites/default/files/paginas/Seccion06.xls,23/08/2016,Mensual Semanal Semestral,2016,,Ministerio de Hacienda y crédito público * Academia * Superintendencia Financiera de Colombia * DNP * Academia * Gremios * analistas económicos * público en general,,
BALANZA DE PAGOS,COLOMBIA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,MÚLTIPLES FUENTES,"Elaborar estadísticas (el registro estadístico) que presentan las transacciones de la economía colombiana con el resto del mundo de acuerdo con el criterio metodológico definido por el Fondo Monetario Internacional en el Manual de Balanza de Pagos, sexta edición.",,,,balanza de bienes y servicios*cuenta de ingreso primario*cuenta de ingreso secundario) y cuenta financiera (flujos de inversiones directas y de portafolio*préstamos y otros créditos externos*derivados financieros y reservas internacionales,Superávit/déficit en cuenta corriente*flujos de capital por componentes,Nacional,SI,XLS,http://www.banrep.gov.co/sites/default/files/paginas/Seccion06.xls,23/08/2016,Trimestral,2016,,Ministerio de Hacienda y credito Publico * Dane * Investigadores y analistas especializados,,
BECAS APROBADAS PARA ESTUDIOS EN EL EXTERIOR,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUDIOS TÉCNICOS EN EL EXTERIOR (ICETEX),REGISTRO ADMINISTRATIVO,"Disponer de información concerniente a las becas aprobadas para estudios en el exterior, para posgrados, estudios de idiomas, y pasantías, procedentes de donaciones o ayudas no reembolsables ofrecidas por gobiernos y organismos internacionales.",,,,Tipo de convocatoria*país oferente*nombre del programa*estudios a realizar*inicio del programa*duración*país*ciudad*nivel de estudios a realizar*Identificación*nombres*lugar de nacimiento*departamento*ciudad*estrato socioeconómico*edad*estudios realizados*institución*nivel de estudios,Becas aprobadas para estudios en el exterior por departamento*número de becas aprobadas aprobados por semestre,Nacional*Departamental,,,,,Mensual,,,Mineducación * DNP * Minhacienda * Presidencia * DPS * Minsalud * Minagricultura * Mintrabajo * Apice * Contraloría * Unidad de victimas,,
BENEFICIO FORMAL DE PORCINOS,COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,"FONDO NACIONAL DE LA PORCICULTURA 
 (ASOCIACIÓN COLOMBIANA DE PORCICULTORES)",REGISTRO ADMINISTRATIVO,Contabilizar el número de cabezas beneficiadas formalmente como ejercicio del ingreso a la cuenta del Fondo de la Porcicultura por concepto de Cuota de Fomento Porcícola.,,,,Número de cerdos beneficiados por departamento de manera anual y mensual,Estimación del volumen de producción de carne de cerdo en canal*Estimación del Consumo per cápita de carne en el país y por departamentos*Estimación del Beneficio Informal de cerdos*Índice de Formalidad del Sector porcicultor,Departamental,,,,,Mensual,,,"* Ministerio de Agricultura y Desarrollo Rural
 * DANE: Unidades DIMPE y Dirección de Síntesis y Cuentas Nacionales
 * Banco de la República (Valle del Cauda)
 * Gobernación de Antioquia (Departamento Administrativo de Planeación) 
 * Cámara de Comercio de Cali 
 * Gobernación de Caldas",,
CALIFICACIÓN INTEGRAL DE FUNCIONARIOS (JUECES Y MAGISTRADOS) Y EMPLEADOS JUDICIALES,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,CONSEJO SUPERIOR DE LA JUDICATURA (CSJ),REGISTRO ADMINISTRATIVO,Llevar información de los resultados de las evaluaciones de servicios aplicadas a los magistrados para el control permanente de su desempeño llevar un registro de los resultados de las evaluaciones de servicios aplicadas a los magistrados para el control permanente de su desempeño,,,,Calificación total o integral (0-100)*factor de organización del trabajo*factor de publicaciones (máximo 2 puntos)*número de magistrados calificados*factor de calidad (promedio de las calificaciones de calidad efectuadas durante el periodo de los magistrados*factor eficiencia*periodo que se evalúa*tipo de sala o despacho,"Número de calificados en el rango Excelente, Bueno e insuficiente*Total de magistrados en propiedad en el periodo i",Nacional,,,,,Bianual,,,"Externos
 -Departamento Nacional de Planeación(DNP) * Ministerio de Justicia * Banca Multilateral * Cancilleria. 
 Internos: 
 -Escuela Judicial Rodrigo Lara Bonilla * area academica.
 - Unidad de Desarrollo y Analisis Estadistico * area reordenamiento y descongestion *
 - Unidad de Administracion de Carrera. area de incentivos 
 _Sala Administrativa CSJ para toma de decisiones .",,
CAPACITACIÓN EN SEGURIDAD Y SALVAMENTO MINERO,COLOMBIA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,AGENCIA NACIONAL DE MINERÍA (ANM),REGISTRO ADMINISTRATIVO,Registrar la información relacionada con la capacitación en seguridad y salvamento minero,,,,Personas capacitadas*temas de capacitación*sitio de capacitación,Números De Personas Capacitadas en Seguridad y Salvamento Minero,Municipal,NO,,,,Trimestral,,,Ciudadano * Mineros * Agremiaciones,,
CAPTURA DESEMBARCADA POR VOLUMEN (SEPEC),COLOMBIA,14 VIDA SUBMARINA,,SECTOR PÚBLICO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA (AUNAP),MIXTO,Establecer los volúmenes de producción pesquera desembarcada a nivel nacional.,,,,Volumenes desembarcados*Esfuerzo de Pesca*Captura por Unidad de Esfuerzo*Valores Comerciales de la Captura Desembarcada por especie*Renta economica por arte de pesca,Indicadores de Volúmenes desembarcados*Esfuerzo de Pesca*Captura por Unidad de Esfuerzo*Indicadores de Captura Desembarcada por especie*Renta económica por arte de pesca,Nacional*Regional*Departamental*Municipal,,,,,Trimestral,,,Entidades del estado como la DIRECCION GENERAL MARITIMA DIMAR * Superintendencia de puertos y trasporte Ministerio de Agricultura y medio ambiente * gremios * universidades.,,
CARTERA HIPOTECARIA DE VIVIENDA (CHV),COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,"Conocer el comportamiento y la evolución de la cartera hipotecaria de vivienda de las entidades financiadoras, en las variables Saldo de Capital
 Total, Capital de una o más cuotas vencidas y número de créditos.",,,,Saldo capital total*capital de una o mas cuotas vencidas*numero de creditos,Saldo capital total*capital de una o mas cuotas vencidas*número de créditos,Nacional*Departamental,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/cartera/anexos-cuadros-historicos-I-2016.xls,22/08/2016,Trimestral,2016,,Presidencia de la RepublicaMinisteriosDepartamento Nacional de Planeación - DNPGobernaciones y alcaldíasGremiosBancosUniversidades y Centros de InvestigaciónTitulizadora Colombiana Banco de la republicaMedios de ComunicaciónEntidades GubernamentalesAsobancariaCiudadano ComúnSuperfinancieraFondo de empleados * cajas y cooperativasCentral de Inversiones S.A,,
CENSO COORDENADA URBANA,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,CÁMARA COLOMBIANA DE LA CONSTRUCCIÓN (CAMACOL),CENSO,"Consolidar la información del sector de la construcción en cuanto al comportamiento y evolución del mercado de edificaciones, con el fin de que sus afiliados puedan tener en cuenta los riesgos en sus proyectos de inversión.",,,,número de unidades*precios*áreas*ubicación geográfica (variables de localización)*ventas*renuncias*saldos*fechas (inicio ventas y construcción),Iniciaciones*ventas*lanzamientos y oferta*renuncias*valor de las ventas*valor del stock. Todos los anteriores son indicadores de unidades habitacionales.,Nacional*Regional*Municipal,,,,,Mensual,,,Ministerio de Vivienda * Ciudad y Territorio * Departamento Nacional de Planeación - DNP * Banco de la República *Asociación Nacional de Instituciones Financieras - ANIF * Fedesarrollo * Centro de Estudios de la Construccion y el Desarrollo Urbano y Regional - CENAC * Asobancaria * Afiliados y no afiliados * público en general * * academia y centros de investigación * Camacol (Presidencia y Regionales),,
CENSO DE CULTIVOS ILÍCITOS,COLOMBIA,,,SECTOR PÚBLICO,MINISTERIO DE JUSTICIA Y DEL DERECHO / OFICINA DE LAS NACIONES UNIDAS CONTRA LA DROGA Y EL DELITO (UNODC) (SIMCI),CENSO,Contar con información sobre la cantidad de cultivos ilícitos identificados en el país,,,,Cantidad de hectáreas*tipo de cultivo*departamento*municipio*código divipola*año*resguardos*parques naturales*consejos,Cantidad de hectáreas por tipo de cultivo por año*por departamento y municipio (bajo presentación oficial de resultados),Nacional*Regional*Departamental*Municipal,,,,,Anual,,,"Investigadores * Academia * Oficina de la Naciones Unidas Contra la Droga y el Delito - UNODC *
 Sistema Integrado de Monitoreo de Cultivos Ilícitos - SIMCI * Unidad Administrativa para la Consolidación Territorial - UACT * Policía Nacional - PONAL * Ministerio de Justicia y del Derecho - MJD * Ministerio de Defensa Nacional -MDN",,
CENSO DE EDIFICACIONES (CEED),COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),CENSO,"Determinar el estado actual de la actividad edificadora para establecer su composición, evolución y producción, para contribuir a la medición y cálculo de los principales agregados macroeconómicos del subsector como la producción bruta, formación bruta de capital fijo y variación de existencia",,,,Precio*Área total construida*numero de unidades*destinos*capitulo y grado de avance*uso*variables de ubicación,Precio*Área total construida*número de unidades*destinos*grado de avance*uso.,Departamental*Municipal,SI,XLS,http://www.dane.gov.co/files/investigaciones/boletines/ceed/anexos_Itrim16.xls,22/08/2016,Mensual,2016,,Ministerios * Gremios * Departamentos Administrativos * Usuarios en general * Departamento Nacional de Planeación - DNP * Gobernaciones y alcaldías * Bancos * Universidades y Centros de Investigación * Medios de Comunicación,,
CENSO DE ESPECIES ANIMALES DE IMPORTANCIA ECONÓMICA EN COLOMBIA,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),CENSO,"Conocer y proveer continuamente las estadísticas de animales existentes en el país para planificación de estrategias de prevención, control y erradicación de enfermedades en todas las fincas de producción pecuaria",,,,Especie*cantidad*edad*ubicación,Tasa de variación en cantidad de población y predios con respecto al año inmediatamente anterior,Nacional *Departamental*Municipal,,,,,Anual,,,Usuarios Internos ICA Externos FEDERACION COLOMBIANA DE CAFETEROS Federación colombiana de Ganaderos FEDEGAN * FEDERACION COLOMBIANA DE AVICULTORES FENAVI Y ASOCIACION COLOMBIANA DE PORCICULTORES,,
